transaction_id,customer_id,timestamp,date,time,description,payee,amount,channel,transaction_type
TX000019,C018,2026-03-01T11:13:00,2026-03-01,11:13:00,Monthly salary credit,Employer,17647.67,BANK_TRANSFER,SALARY
TX000020,C012,2026-03-01T11:15:00,2026-03-01,11:15:00,Monthly salary credit,Employer,93146.6,BANK_TRANSFER,SALARY
TX000021,C005,2026-03-01T11:18:00,2026-03-01,11:18:00,Monthly salary credit,Employer,67785.99,BANK_TRANSFER,SALARY
TX000022,C015,2026-03-01T11:19:00,2026-03-01,11:19:00,Monthly salary credit,Employer,26330.8,BANK_TRANSFER,SALARY
TX000023,C004,2026-03-01T11:33:00,2026-03-01,11:33:00,Monthly salary credit,Employer,42280.03,BANK_TRANSFER,SALARY
TX000024,C011,2026-03-01T11:38:00,2026-03-01,11:38:00,Fund transfer,Bank Transfer,7562.31,UPI,TRANSFER
TX000025,C017,2026-03-01T11:50:00,2026-03-01,11:50:00,Monthly salary credit,Employer,90305.7,BANK_TRANSFER,SALARY
TX000026,C010,2026-03-01T11:55:00,2026-03-01,11:55:00,Monthly salary credit,Employer,15757.88,BANK_TRANSFER,SALARY
TX000027,C013,2026-03-01T11:59:00,2026-03-01,11:59:00,Monthly salary credit,Employer,65496.56,BANK_TRANSFER,SALARY
TX000028,C020,2026-03-01T11:59:00,2026-03-01,11:59:00,Monthly salary credit,Employer,56044.22,BANK_TRANSFER,SALARY
TX000029,C015,2026-03-01T12:20:00,2026-03-01,12:20:00,Bank transfer,Bank Transfer,26272.01,UPI,TRANSFER
TX000030,C012,2026-03-01T12:56:00,2026-03-01,12:56:00,Fuel station payment,Fuel Station,2192.98,UPI,FUEL
TX000031,C015,2026-03-01T13:28:00,2026-03-01,13:28:00,Online shopping,Amazon,14781.39,BANK_TRANSFER,PURCHASE
TX000032,C020,2026-03-01T14:39:00,2026-03-01,14:39:00,Bank transfer,Bank Transfer,1588.01,UPI,TRANSFER
TX000033,C020,2026-03-01T15:32:00,2026-03-01,15:32:00,Fuel station payment,Fuel Station,4736.52,UPI,FUEL
TX000034,C010,2026-03-01T16:41:00,2026-03-01,16:41:00,Food delivery,Zomato,1397.4,CARD,DINING
TX000035,C008,2026-03-01T17:00:00,2026-03-01,17:00:00,Refund - returned item,Flipkart,1220.44,CARD,REFUND
TX000036,C010,2026-03-01T17:39:00,2026-03-01,17:39:00,Cab ride,Ola,2640.4,NET_BANKING,TRAVEL
TX000037,C018,2026-03-01T17:43:00,2026-03-01,17:43:00,Online shopping,Amazon,1378.91,UPI,PURCHASE
TX000038,C018,2026-03-01T17:51:00,2026-03-01,17:51:00,Online shopping,Flipkart,2993.12,UPI,PURCHASE
TX000039,C013,2026-03-01T18:06:00,2026-03-01,18:06:00,Online shopping,Amazon,3488.3,CARD,PURCHASE
TX000040,C016,2026-03-01T18:16:00,2026-03-01,18:16:00,Taxi fare,Uber,4367.23,UPI,TRAVEL
TX000041,C006,2026-03-01T18:31:00,2026-03-01,18:31:00,Fund transfer,Bank Transfer,4717.9,CARD,TRANSFER
TX000042,C007,2026-03-01T18:48:00,2026-03-01,18:48:00,Online shopping,Amazon,10290.96,BANK_TRANSFER,PURCHASE
TX000043,C005,2026-03-01T19:04:00,2026-03-01,19:04:00,Streaming subscription,Netflix,648.33,CARD,SUBSCRIPTION
TX000044,C009,2026-03-01T19:25:00,2026-03-01,19:25:00,Online purchase,Amazon,10538.89,CARD,PURCHASE
TX000045,C017,2026-03-01T19:46:00,2026-03-01,19:46:00,Fund transfer,Bank Transfer,27913.5,UPI,TRANSFER
TX000046,C019,2026-03-01T19:50:00,2026-03-01,19:50:00,Grocery shopping,Grocery Store,2815.83,BANK_TRANSFER,GROCERY
TX000047,C014,2026-03-01T19:57:00,2026-03-01,19:57:00,Fuel station payment,Fuel Station,4645.1,UPI,FUEL
TX000048,C011,2026-03-01T20:44:00,2026-03-01,20:44:00,Taxi fare,Ola,470.91,BANK_TRANSFER,TRAVEL
TX000049,C014,2026-03-01T21:29:00,2026-03-01,21:29:00,Taxi fare,Ola,2216.13,CARD,TRAVEL
TX000050,C014,2026-03-01T21:41:00,2026-03-01,21:41:00,ATM cash withdrawal,ATM,11432.68,ATM,WITHDRAWAL
TX000051,C011,2026-03-01T21:54:00,2026-03-01,21:54:00,Bank transfer,Bank Transfer,8691.94,UPI,TRANSFER
TX000052,C005,2026-03-02T06:14:00,2026-03-02,06:14:00,Supermarket purchase,Grocery Store,4964.85,BANK_TRANSFER,GROCERY
TX000053,C018,2026-03-02T06:40:00,2026-03-02,06:40:00,Restaurant payment,Zomato,1000.56,CARD,DINING
TX000054,C020,2026-03-02T06:59:00,2026-03-02,06:59:00,Fuel station payment,Fuel Station,1283.26,UPI,FUEL
TX000055,C016,2026-03-02T07:03:00,2026-03-02,07:03:00,Travel booking,Ola,3350.51,BANK_TRANSFER,TRAVEL
TX000056,C008,2026-03-02T07:44:00,2026-03-02,07:44:00,Food delivery,Zomato,1255.61,CARD,DINING
TX000057,C011,2026-03-02T08:09:00,2026-03-02,08:09:00,Monthly subscription,Spotify,441.21,CARD,SUBSCRIPTION
TX000058,C004,2026-03-02T08:14:00,2026-03-02,08:14:00,Bill payment,Mobile Provider,1921.86,UPI,BILL_PAYMENT
TX000059,C011,2026-03-02T08:59:00,2026-03-02,08:59:00,Fund transfer,Bank Transfer,26310.68,NET_BANKING,TRANSFER
TX000060,C006,2026-03-02T09:30:00,2026-03-02,09:30:00,Taxi fare,Uber,3628.38,UPI,TRAVEL
TX000061,C010,2026-03-02T09:45:00,2026-03-02,09:45:00,Bill payment,Mobile Provider,7534.65,UPI,BILL_PAYMENT
TX000062,C007,2026-03-02T10:05:00,2026-03-02,10:05:00,Online purchase,Amazon,2177.57,NET_BANKING,PURCHASE
TX000063,C003,2026-03-02T10:49:00,2026-03-02,10:49:00,Bank transfer,Bank Transfer,12566.9,CARD,TRANSFER
TX000064,C014,2026-03-02T11:18:00,2026-03-02,11:18:00,Fuel station payment,Fuel Station,1951.76,CARD,FUEL
TX000065,C007,2026-03-02T11:33:00,2026-03-02,11:33:00,Online purchase,Amazon,8159.23,UPI,PURCHASE
TX000066,C017,2026-03-02T11:33:00,2026-03-02,11:33:00,Monthly apartment rent,Rent,13357.95,NET_BANKING,RENT
TX000067,C001,2026-03-02T11:47:00,2026-03-02,11:47:00,Monthly apartment rent,Rent,14260.48,NET_BANKING,RENT
TX000068,C011,2026-03-02T12:16:00,2026-03-02,12:16:00,Monthly apartment rent,Rent,22412.28,NET_BANKING,RENT
TX000069,C005,2026-03-02T12:19:00,2026-03-02,12:19:00,Monthly apartment rent,Rent,17501.7,BANK_TRANSFER,RENT
TX000070,C002,2026-03-02T12:43:00,2026-03-02,12:43:00,Online shopping,Amazon,12828.06,UPI,PURCHASE
TX000071,C017,2026-03-02T12:53:00,2026-03-02,12:53:00,Bank transfer,Bank Transfer,16789.8,BANK_TRANSFER,TRANSFER
TX000072,C013,2026-03-02T12:59:00,2026-03-02,12:59:00,Insurance premium,Education,6643.7,BANK_TRANSFER,BILL_PAYMENT
TX000073,C010,2026-03-02T13:06:00,2026-03-02,13:06:00,Online purchase,Amazon,11549.77,BANK_TRANSFER,PURCHASE
TX000074,C012,2026-03-02T13:11:00,2026-03-02,13:11:00,Supermarket purchase,Grocery Store,3055.06,UPI,GROCERY
TX000075,C014,2026-03-02T13:14:00,2026-03-02,13:14:00,ATM cash withdrawal,ATM,18490.64,ATM,WITHDRAWAL
TX000076,C012,2026-03-02T13:30:00,2026-03-02,13:30:00,Monthly apartment rent,Rent,27862.91,BANK_TRANSFER,RENT
TX000077,C007,2026-03-02T13:35:00,2026-03-02,13:35:00,Weekly groceries,Grocery Store,387.61,BANK_TRANSFER,GROCERY
TX000078,C020,2026-03-02T13:39:00,2026-03-02,13:39:00,Food order,Swiggy,806.1,CARD,DINING
TX000079,C019,2026-03-02T13:47:00,2026-03-02,13:47:00,Monthly apartment rent,Rent,33491.94,BANK_TRANSFER,RENT
TX000080,C014,2026-03-02T13:50:00,2026-03-02,13:50:00,Monthly subscription,Spotify,312.54,BANK_TRANSFER,SUBSCRIPTION
TX000081,C014,2026-03-02T14:09:00,2026-03-02,14:09:00,Restaurant payment,Swiggy,2461.92,BANK_TRANSFER,DINING
TX000082,C013,2026-03-02T14:27:00,2026-03-02,14:27:00,Online purchase,Flipkart,3442.33,CARD,PURCHASE
TX000083,C004,2026-03-02T14:30:00,2026-03-02,14:30:00,Monthly apartment rent,Rent,12860.35,NET_BANKING,RENT
TX000084,C001,2026-03-02T14:34:00,2026-03-02,14:34:00,Mobile recharge,Electricity Board,2588.58,UPI,UTILITY
TX000085,C015,2026-03-02T16:00:00,2026-03-02,16:00:00,Refund - returned item,Flipkart,4274.06,UPI,REFUND
TX000086,C013,2026-03-02T16:25:00,2026-03-02,16:25:00,Grocery shopping,FreshMart,2749.98,UPI,GROCERY
TX000087,C006,2026-03-02T16:56:00,2026-03-02,16:56:00,Online purchase,Flipkart,9695.73,UPI,PURCHASE
TX000088,C005,2026-03-02T18:02:00,2026-03-02,18:02:00,Mobile recharge,Utility Payment,4315.59,NET_BANKING,UTILITY
TX000089,C008,2026-03-02T18:14:00,2026-03-02,18:14:00,ATM cash withdrawal,ATM,11730.03,ATM,WITHDRAWAL
TX000090,C012,2026-03-02T18:27:00,2026-03-02,18:27:00,Bank transfer,Bank Transfer,10921.09,CARD,TRANSFER
TX000091,C006,2026-03-02T18:29:00,2026-03-02,18:29:00,Supermarket purchase,FreshMart,4092.0,UPI,GROCERY
TX000092,C003,2026-03-02T19:17:00,2026-03-02,19:17:00,Grocery shopping,FreshMart,339.88,UPI,GROCERY
TX000093,C001,2026-03-02T19:29:00,2026-03-02,19:29:00,Weekly groceries,Grocery Store,1472.97,UPI,GROCERY
TX000094,C018,2026-03-02T19:36:00,2026-03-02,19:36:00,Food order,Swiggy,1583.25,CARD,DINING
TX000095,C012,2026-03-02T19:43:00,2026-03-02,19:43:00,Fund transfer,Bank Transfer,6128.24,UPI,TRANSFER
TX000096,C018,2026-03-02T19:44:00,2026-03-02,19:44:00,Fuel station payment,Fuel Station,2743.99,BANK_TRANSFER,FUEL
TX000097,C008,2026-03-02T19:52:00,2026-03-02,19:52:00,Grocery shopping,FreshMart,1756.64,BANK_TRANSFER,GROCERY
TX000098,C002,2026-03-02T19:55:00,2026-03-02,19:55:00,Online shopping,Flipkart,9422.26,CARD,PURCHASE
TX000099,C004,2026-03-02T20:03:00,2026-03-02,20:03:00,Travel booking,Uber,2947.59,BANK_TRANSFER,TRAVEL
TX000100,C016,2026-03-02T20:10:00,2026-03-02,20:10:00,Restaurant payment,Swiggy,1328.63,UPI,DINING
TX000101,C015,2026-03-02T20:20:00,2026-03-02,20:20:00,Food order,Zomato,401.4,UPI,DINING
TX000102,C014,2026-03-02T20:38:00,2026-03-02,20:38:00,Taxi fare,Uber,3083.13,BANK_TRANSFER,TRAVEL
TX000103,C008,2026-03-02T20:45:00,2026-03-02,20:45:00,Online purchase,Flipkart,12411.65,CARD,PURCHASE
TX000104,C003,2026-03-02T21:18:00,2026-03-02,21:18:00,Refund - returned item,Flipkart,3789.55,BANK_TRANSFER,REFUND
TX000105,C010,2026-03-02T21:53:00,2026-03-02,21:53:00,Taxi fare,Uber,4595.96,UPI,TRAVEL
TX000106,C010,2026-03-02T22:06:00,2026-03-02,22:06:00,Restaurant payment,Zomato,2581.38,UPI,DINING
TX000107,C017,2026-03-02T23:17:00,2026-03-02,23:17:00,Electricity bill,Utility Payment,4883.09,BANK_TRANSFER,UTILITY
TX000108,C018,2026-03-02T23:30:00,2026-03-02,23:30:00,Bank transfer,Bank Transfer,18351.76,NET_BANKING,TRANSFER
TX000109,C003,2026-03-03T05:12:00,2026-03-03,05:12:00,Online shopping,Amazon,1945.11,BANK_TRANSFER,PURCHASE
TX000110,C003,2026-03-03T06:25:00,2026-03-03,06:25:00,ATM cash withdrawal,ATM,9808.38,ATM,WITHDRAWAL
TX000111,C014,2026-03-03T07:43:00,2026-03-03,07:43:00,Fuel station payment,Fuel Station,2588.64,CARD,FUEL
TX000112,C011,2026-03-03T08:12:00,2026-03-03,08:12:00,Online shopping,Amazon,12247.87,UPI,PURCHASE
TX000113,C017,2026-03-03T08:39:00,2026-03-03,08:39:00,Supermarket purchase,Grocery Store,2558.71,UPI,GROCERY
TX000114,C012,2026-03-03T08:43:00,2026-03-03,08:43:00,Monthly subscription,Netflix,820.31,UPI,SUBSCRIPTION
TX000115,C001,2026-03-03T08:53:00,2026-03-03,08:53:00,Food order,Zomato,1477.88,UPI,DINING
TX000116,C009,2026-03-03T08:57:00,2026-03-03,08:57:00,Bank transfer,Bank Transfer,12180.76,BANK_TRANSFER,TRANSFER
TX000117,C020,2026-03-03T09:22:00,2026-03-03,09:22:00,Fuel station payment,Fuel Station,988.75,UPI,FUEL
TX000118,C012,2026-03-03T09:38:00,2026-03-03,09:38:00,Mobile recharge,Electricity Board,3874.42,UPI,UTILITY
TX000119,C006,2026-03-03T10:41:00,2026-03-03,10:41:00,Fuel station payment,Fuel Station,1564.05,UPI,FUEL
TX000120,C003,2026-03-03T11:01:00,2026-03-03,11:01:00,Monthly apartment rent,Rent,19622.93,BANK_TRANSFER,RENT
TX000121,C009,2026-03-03T11:07:00,2026-03-03,11:07:00,Cab ride,Uber,4205.79,CARD,TRAVEL
TX000122,C013,2026-03-03T11:08:00,2026-03-03,11:08:00,Monthly apartment rent,Rent,17491.15,BANK_TRANSFER,RENT
TX000123,C017,2026-03-03T11:24:00,2026-03-03,11:24:00,Food delivery,Zomato,2088.79,CARD,DINING
TX000124,C014,2026-03-03T11:59:00,2026-03-03,11:59:00,Monthly apartment rent,Rent,21254.84,BANK_TRANSFER,RENT
TX000125,C020,2026-03-03T12:03:00,2026-03-03,12:03:00,Monthly apartment rent,Rent,18626.07,NET_BANKING,RENT
TX000126,C002,2026-03-03T12:15:00,2026-03-03,12:15:00,Monthly apartment rent,Rent,25435.22,BANK_TRANSFER,RENT
TX000127,C008,2026-03-03T12:38:00,2026-03-03,12:38:00,Supermarket purchase,Grocery Store,2988.95,UPI,GROCERY
TX000128,C013,2026-03-03T13:46:00,2026-03-03,13:46:00,Taxi fare,Uber,5078.15,CARD,TRAVEL
TX000129,C005,2026-03-03T14:11:00,2026-03-03,14:11:00,Fuel station payment,Fuel Station,4559.98,CARD,FUEL
TX000130,C008,2026-03-03T14:13:00,2026-03-03,14:13:00,Monthly apartment rent,Rent,15570.32,BANK_TRANSFER,RENT
TX000131,C013,2026-03-03T14:30:00,2026-03-03,14:30:00,Online shopping,Flipkart,4074.38,CARD,PURCHASE
TX000132,C018,2026-03-03T14:39:00,2026-03-03,14:39:00,Bank transfer,Bank Transfer,19250.31,CARD,TRANSFER
TX000133,C018,2026-03-03T14:39:00,2026-03-03,14:39:00,Taxi fare,Uber,2699.59,CARD,TRAVEL
TX000134,C001,2026-03-03T14:55:00,2026-03-03,14:55:00,Bill payment,Insurance,6689.8,UPI,BILL_PAYMENT
TX000135,C018,2026-03-03T15:12:00,2026-03-03,15:12:00,Bill payment,Mobile Provider,3497.52,BANK_TRANSFER,BILL_PAYMENT
TX000136,C008,2026-03-03T15:34:00,2026-03-03,15:34:00,Mobile recharge,Mobile Provider,2037.72,UPI,UTILITY
TX000137,C015,2026-03-03T15:36:00,2026-03-03,15:36:00,Travel booking,Uber,2474.77,NET_BANKING,TRAVEL
TX000138,C007,2026-03-03T15:40:00,2026-03-03,15:40:00,Restaurant payment,Swiggy,2761.28,UPI,DINING
TX000139,C010,2026-03-03T15:40:00,2026-03-03,15:40:00,Fund transfer,Bank Transfer,3966.38,UPI,TRANSFER
TX000140,C015,2026-03-03T15:47:00,2026-03-03,15:47:00,Online shopping,Amazon,11484.4,NET_BANKING,PURCHASE
TX000141,C001,2026-03-03T16:00:00,2026-03-03,16:00:00,Food order,Zomato,866.53,CARD,DINING
TX000142,C020,2026-03-03T16:02:00,2026-03-03,16:02:00,Bank transfer,Bank Transfer,23866.21,NET_BANKING,TRANSFER
TX000143,C012,2026-03-03T16:07:00,2026-03-03,16:07:00,Grocery shopping,FreshMart,1058.9,UPI,GROCERY
TX000144,C010,2026-03-03T16:42:00,2026-03-03,16:42:00,Grocery shopping,FreshMart,462.73,CARD,GROCERY
TX000145,C016,2026-03-03T17:33:00,2026-03-03,17:33:00,Taxi fare,Ola,5200.95,UPI,TRAVEL
TX000146,C007,2026-03-03T17:40:00,2026-03-03,17:40:00,Bill payment,Education,13923.9,NET_BANKING,BILL_PAYMENT
TX000147,C011,2026-03-03T17:46:00,2026-03-03,17:46:00,Fuel station payment,Fuel Station,4610.06,UPI,FUEL
TX000148,C007,2026-03-03T18:26:00,2026-03-03,18:26:00,Restaurant payment,Zomato,345.76,UPI,DINING
TX000149,C002,2026-03-03T18:49:00,2026-03-03,18:49:00,Grocery shopping,FreshMart,3581.93,BANK_TRANSFER,GROCERY
TX000150,C002,2026-03-03T19:13:00,2026-03-03,19:13:00,Education fee,Electricity Board,9104.61,NET_BANKING,BILL_PAYMENT
TX000151,C014,2026-03-03T19:26:00,2026-03-03,19:26:00,Fund transfer,Bank Transfer,21393.75,NET_BANKING,TRANSFER
TX000152,C011,2026-03-03T19:38:00,2026-03-03,19:38:00,Weekly groceries,FreshMart,883.22,UPI,GROCERY
TX000153,C015,2026-03-03T20:20:00,2026-03-03,20:20:00,Bank transfer,Bank Transfer,8965.66,NET_BANKING,TRANSFER
TX000154,C016,2026-03-03T20:49:00,2026-03-03,20:49:00,Travel booking,Ola,7426.12,UPI,TRAVEL
TX000155,C011,2026-03-03T21:38:00,2026-03-03,21:38:00,Taxi fare,Uber,2627.27,CARD,TRAVEL
TX000156,C015,2026-03-03T21:49:00,2026-03-03,21:49:00,Food order,Swiggy,2547.51,CARD,DINING
TX000157,C018,2026-03-03T21:49:00,2026-03-03,21:49:00,Online purchase,Flipkart,8909.76,CARD,PURCHASE
TX000158,C013,2026-03-03T22:21:00,2026-03-03,22:21:00,Online purchase,Flipkart,2841.87,BANK_TRANSFER,PURCHASE
TX000159,C017,2026-03-03T22:22:00,2026-03-03,22:22:00,Bank transfer,Bank Transfer,3239.74,BANK_TRANSFER,TRANSFER
TX000160,C019,2026-03-04T06:20:00,2026-03-04,06:20:00,Taxi fare,Ola,4383.52,UPI,TRAVEL
TX000161,C019,2026-03-04T07:29:00,2026-03-04,07:29:00,Fuel station payment,Fuel Station,3785.75,CARD,FUEL
TX000162,C013,2026-03-04T07:34:00,2026-03-04,07:34:00,ATM cash withdrawal,ATM,15067.54,ATM,WITHDRAWAL
TX000163,C006,2026-03-04T07:39:00,2026-03-04,07:39:00,Weekly groceries,FreshMart,4287.48,UPI,GROCERY
TX000164,C020,2026-03-04T07:44:00,2026-03-04,07:44:00,Fund transfer,Bank Transfer,5322.47,NET_BANKING,TRANSFER
TX000165,C005,2026-03-04T08:13:00,2026-03-04,08:13:00,Food delivery,Swiggy,2180.37,CARD,DINING
TX000166,C019,2026-03-04T09:19:00,2026-03-04,09:19:00,Weekly groceries,Grocery Store,1847.49,CARD,GROCERY
TX000167,C006,2026-03-04T09:21:00,2026-03-04,09:21:00,Online purchase,Amazon,9492.62,CARD,PURCHASE
TX000168,C018,2026-03-04T10:13:00,2026-03-04,10:13:00,Monthly apartment rent,Rent,6315.15,BANK_TRANSFER,RENT
TX000169,C006,2026-03-04T10:25:00,2026-03-04,10:25:00,Monthly apartment rent,Rent,12102.63,BANK_TRANSFER,RENT
TX000170,C010,2026-03-04T10:53:00,2026-03-04,10:53:00,Monthly apartment rent,Rent,7652.52,BANK_TRANSFER,RENT
TX000171,C008,2026-03-04T11:00:00,2026-03-04,11:00:00,Refund - returned item,Amazon,2457.25,CARD,REFUND
TX000172,C015,2026-03-04T11:18:00,2026-03-04,11:18:00,Taxi fare,Ola,4536.6,CARD,TRAVEL
TX000173,C017,2026-03-04T11:22:00,2026-03-04,11:22:00,Fuel station payment,Fuel Station,3456.44,UPI,FUEL
TX000174,C008,2026-03-04T11:27:00,2026-03-04,11:27:00,Taxi fare,Ola,3786.72,CARD,TRAVEL
TX000175,C005,2026-03-04T11:28:00,2026-03-04,11:28:00,Taxi fare,Uber,4867.88,UPI,TRAVEL
TX000176,C012,2026-03-04T11:52:00,2026-03-04,11:52:00,Food delivery,Swiggy,2795.31,UPI,DINING
TX000177,C003,2026-03-04T12:30:00,2026-03-04,12:30:00,Online purchase,Amazon,11951.84,BANK_TRANSFER,PURCHASE
TX000178,C010,2026-03-04T12:33:00,2026-03-04,12:33:00,Food order,Zomato,1676.62,BANK_TRANSFER,DINING
TX000179,C004,2026-03-04T12:34:00,2026-03-04,12:34:00,Weekly groceries,FreshMart,2555.18,BANK_TRANSFER,GROCERY
TX000180,C011,2026-03-04T12:35:00,2026-03-04,12:35:00,Online shopping,Amazon,13102.87,UPI,PURCHASE
TX000181,C015,2026-03-04T13:06:00,2026-03-04,13:06:00,Monthly apartment rent,Rent,12623.96,BANK_TRANSFER,RENT
TX000182,C009,2026-03-04T13:17:00,2026-03-04,13:17:00,Bank transfer,Bank Transfer,29416.37,UPI,TRANSFER
TX000183,C016,2026-03-04T13:21:00,2026-03-04,13:21:00,Fuel station payment,Fuel Station,4507.58,UPI,FUEL
TX000184,C001,2026-03-04T13:29:00,2026-03-04,13:29:00,Fund transfer,Bank Transfer,4235.01,UPI,TRANSFER
TX000185,C017,2026-03-04T13:43:00,2026-03-04,13:43:00,Online shopping,Amazon,6721.77,UPI,PURCHASE
TX000186,C009,2026-03-04T13:47:00,2026-03-04,13:47:00,Monthly apartment rent,Rent,22669.63,BANK_TRANSFER,RENT
TX000187,C011,2026-03-04T13:58:00,2026-03-04,13:58:00,Streaming subscription,Netflix,624.1,CARD,SUBSCRIPTION
TX000188,C015,2026-03-04T14:00:00,2026-03-04,14:00:00,Fund transfer,Bank Transfer,16513.28,CARD,TRANSFER
TX000189,C009,2026-03-04T14:11:00,2026-03-04,14:11:00,Weekly groceries,FreshMart,4197.45,UPI,GROCERY
TX000190,C017,2026-03-04T14:13:00,2026-03-04,14:13:00,Bank transfer,Bank Transfer,25320.49,BANK_TRANSFER,TRANSFER
TX000191,C002,2026-03-04T14:42:00,2026-03-04,14:42:00,ATM cash withdrawal,ATM,15898.61,ATM,WITHDRAWAL
TX000192,C016,2026-03-04T14:46:00,2026-03-04,14:46:00,Monthly apartment rent,Rent,16520.97,NET_BANKING,RENT
TX000193,C007,2026-03-04T14:54:00,2026-03-04,14:54:00,Monthly apartment rent,Rent,34001.55,NET_BANKING,RENT
TX000194,C015,2026-03-04T15:02:00,2026-03-04,15:02:00,Bank transfer,Bank Transfer,2403.5,BANK_TRANSFER,TRANSFER
TX000195,C004,2026-03-04T15:25:00,2026-03-04,15:25:00,Weekly groceries,Grocery Store,318.35,BANK_TRANSFER,GROCERY
TX000196,C005,2026-03-04T16:31:00,2026-03-04,16:31:00,ATM cash withdrawal,ATM,19103.76,ATM,WITHDRAWAL
TX000197,C014,2026-03-04T16:42:00,2026-03-04,16:42:00,Cab ride,Ola,1013.64,CARD,TRAVEL
TX000198,C010,2026-03-04T16:49:00,2026-03-04,16:49:00,Mobile recharge,Mobile Provider,4158.47,UPI,UTILITY
TX000199,C005,2026-03-04T17:21:00,2026-03-04,17:21:00,Internet bill,Internet Provider,7285.49,CARD,UTILITY
TX000200,C001,2026-03-04T17:26:00,2026-03-04,17:26:00,Education fee,Insurance,9323.27,CARD,BILL_PAYMENT
TX000201,C005,2026-03-04T17:35:00,2026-03-04,17:35:00,Internet bill,Mobile Provider,5881.73,BANK_TRANSFER,UTILITY
TX000202,C005,2026-03-04T17:48:00,2026-03-04,17:48:00,Bank transfer,Bank Transfer,13858.06,UPI,TRANSFER
TX000203,C002,2026-03-04T17:49:00,2026-03-04,17:49:00,Supermarket purchase,Grocery Store,514.26,UPI,GROCERY
TX000204,C007,2026-03-04T17:57:00,2026-03-04,17:57:00,Travel booking,Uber,7834.23,NET_BANKING,TRAVEL
TX000205,C001,2026-03-04T18:04:00,2026-03-04,18:04:00,Fuel station payment,Fuel Station,2284.94,UPI,FUEL
TX000206,C019,2026-03-04T18:37:00,2026-03-04,18:37:00,Weekly groceries,FreshMart,1255.21,CARD,GROCERY
TX000207,C011,2026-03-04T18:46:00,2026-03-04,18:46:00,Online purchase,Amazon,11898.2,UPI,PURCHASE
TX000208,C007,2026-03-04T19:01:00,2026-03-04,19:01:00,Travel booking,Uber,7049.86,UPI,TRAVEL
TX000209,C009,2026-03-04T19:05:00,2026-03-04,19:05:00,Restaurant payment,Swiggy,2004.92,CARD,DINING
TX000210,C011,2026-03-04T19:25:00,2026-03-04,19:25:00,Mobile recharge,Electricity Board,5952.68,CARD,UTILITY
TX000211,C012,2026-03-04T20:15:00,2026-03-04,20:15:00,Supermarket purchase,FreshMart,287.21,UPI,GROCERY
TX000212,C002,2026-03-04T20:23:00,2026-03-04,20:23:00,Food delivery,Zomato,2747.31,CARD,DINING
TX000213,C006,2026-03-04T20:28:00,2026-03-04,20:28:00,Supermarket purchase,FreshMart,4159.37,UPI,GROCERY
TX000214,C004,2026-03-04T20:34:00,2026-03-04,20:34:00,Grocery shopping,FreshMart,4137.3,BANK_TRANSFER,GROCERY
